CBSACode,MetroName,GroupCode,GroupName,Congregations,Adherents,Adherents_percent_of_Total_Adherents,Adherents_percent_of_Population
10180,Abilene TX Metro Area,207,Evangelical Lutheran Church in America,2,304,0.29,0.17
10180,Abilene TX Metro Area,215,Evangelical Methodist Church,1,,,
10180,Abilene TX Metro Area,FGP,Every Nation,1,,,
10180,Abilene TX Metro Area,263,Foursquare Gospel International Church of the,3,288,0.27,0.16
10180,Abilene TX Metro Area,221,Free Methodist Church--USA,1,130,0.12,0.07
10180,Abilene TX Metro Area,388,General Association of Regular Baptist Churches,1,,,
10180,Abilene TX Metro Area,FGM,Grace Communion International,1,,,
10180,Abilene TX Metro Area,272,"Jehovah's Witnesses",5,1040,0.98,0.59
10180,Abilene TX Metro Area,283,Lutheran Church--Missouri Synod,2,997,0.94,0.56
10180,Abilene TX Metro Area,290,Metropolitan Community Churches,1,36,0.03,0.02
10180,Abilene TX Metro Area,223,National Association of Free Will Baptists,1,35,0.03,0.02
10180,Abilene TX Metro Area,300,"National Baptist Convention USA, Inc.",1,200,0.19,0.11
10180,Abilene TX Metro Area,302,National Missionary Baptist Convention Inc.,3,530,0.50,0.30
10180,Abilene TX Metro Area,F31,Nationwide Fellowship Mennonite Churches,1,56,0.05,0.03
10180,Abilene TX Metro Area,500,Non-denominational Christian Churches,31,15376,14.49,8.71
10180,Abilene TX Metro Area,335,Orthodox Presbyterian Church,1,,,
10180,Abilene TX Metro Area,355,Presbyterian Church (U.S.A.),5,1697,1.60,0.96
10180,Abilene TX Metro Area,361,Primitive Baptists Associations,1,94,0.09,0.05
10180,Abilene TX Metro Area,271,Reform Judaism,1,57,0.05,0.03
10180,Abilene TX Metro Area,403,Salvation Army,1,244,0.23,0.14
10180,Abilene TX Metro Area,413,Seventh-day Adventist Church,1,228,0.21,0.13
10180,Abilene TX Metro Area,419,Southern Baptist Convention,97,45383,42.76,25.70
10180,Abilene TX Metro Area,F54,The local churches,1,,,
10180,Abilene TX Metro Area,435,Unitarian Universalist Association of Congregations,1,12,0.01,0.01
10180,Abilene TX Metro Area,449,United Methodist Church,24,7694,7.25,4.36
10180,Abilene TX Metro Area,454,United Pentecostal Church International,3,,,
10180,Abilene TX Metro Area,124,Unity Churches Association of,2,,,
10220,Ada OK Micro Area,017,American Baptist Association,1,154,0.59,0.40
10220,Ada OK Micro Area,053,Assemblies of God,5,203,0.78,0.53
10220,Ada OK Micro Area,056,"Baha'i Faith USA",0,25,0.10,0.07
10220,Ada OK Micro Area,059,Baptist Missionary Association of America,3,,,
10220,Ada OK Micro Area,081,Catholic Church,1,920,3.54,2.42
10220,Ada OK Micro Area,093,Christian Church (Disciples of Christ),1,0,0.00,0.00
10220,Ada OK Micro Area,097,Christian Churches and Churches of Christ,1,130,0.50,0.34
10220,Ada OK Micro Area,F53,Church of God,1,,,
10220,Ada OK Micro Area,127,Church of God (Cleveland Tennessee),1,105,0.40,0.28
10220,Ada OK Micro Area,141,Church of God in Christ,1,100,0.38,0.26
10220,Ada OK Micro Area,145,Church of God of Prophecy,2,,,
10220,Ada OK Micro Area,151,Church of Jesus Christ of Latter-day Saints,1,390,1.50,1.02
10220,Ada OK Micro Area,165,Church of the Nazarene,1,198,0.76,0.52
10220,Ada OK Micro Area,167,Churches of Christ,10,1447,5.57,3.80
10220,Ada OK Micro Area,185,Cumberland Presbyterian,1,147,0.57,0.39
10220,Ada OK Micro Area,193,Episcopal Church,1,135,0.52,0.35
10220,Ada OK Micro Area,263,Foursquare Gospel International Church of the,1,256,0.98,0.67
10220,Ada OK Micro Area,272,"Jehovah's Witnesses",1,238,0.92,0.63
10220,Ada OK Micro Area,283,Lutheran Church--Missouri Synod,1,119,0.46,0.31
10220,Ada OK Micro Area,223,National Association of Free Will Baptists,10,1164,4.48,3.06
10220,Ada OK Micro Area,300,"National Baptist Convention USA, Inc.",1,570,2.19,1.50
10220,Ada OK Micro Area,302,National Missionary Baptist Convention Inc.,1,150,0.58,0.39
10220,Ada OK Micro Area,500,Non-denominational Christian Churches,15,6630,25.50,17.42
10220,Ada OK Micro Area,355,Presbyterian Church (U.S.A.),1,134,0.52,0.35
10220,Ada OK Micro Area,413,Seventh-day Adventist Church,1,58,0.22,0.15
10220,Ada OK Micro Area,419,Southern Baptist Convention,30,10246,39.41,26.92
10220,Ada OK Micro Area,449,United Methodist Church,7,2480,9.54,6.52
10220,Ada OK Micro Area,454,United Pentecostal Church International,2,,,
10300,Adrian MI Micro Area,003,African Methodist Episcopal Church,1,2200,6.58,2.21
10300,Adrian MI Micro Area,019,American Baptist Churches in the USA,1,82,0.25,0.08
10300,Adrian MI Micro Area,031,Amish Groups undifferentiated,1,123,0.37,0.12
10300,Adrian MI Micro Area,053,Assemblies of God,2,993,2.97,1.00
10300,Adrian MI Micro Area,056,"Baha'i Faith USA",0,26,0.08,0.03
10300,Adrian MI Micro Area,081,Catholic Church,9,9279,27.76,9.33
10300,Adrian MI Micro Area,089,Christian and Missionary Alliance,1,65,0.19,0.07
10300,Adrian MI Micro Area,093,Christian Church (Disciples of Christ),1,99,0.30,0.10
10300,Adrian MI Micro Area,127,Church of God (Cleveland Tennessee),4,454,1.36,0.46
10300,Adrian MI Micro Area,145,Church of God of Prophecy,1,,,
10300,Adrian MI Micro Area,151,Church of Jesus Christ of Latter-day Saints,1,474,1.42,0.48
10300,Adrian MI Micro Area,157,Church of the Brethren,1,4,0.01,0.00
10300,Adrian MI Micro Area,165,Church of the Nazarene,5,974,2.91,0.98
10300,Adrian MI Micro Area,438,Church of the United Brethren in Christ USA,2,354,1.06,0.36
10300,Adrian MI Micro Area,167,Churches of Christ,2,325,0.97,0.33
10300,Adrian MI Micro Area,193,Episcopal Church,2,277,0.83,0.28
10300,Adrian MI Micro Area,203,Evangelical Free Church of America,2,,,
10300,Adrian MI Micro Area,328,Evangelical Friends Church International,4,238,0.71,0.24
10300,Adrian MI Micro Area,207,Evangelical Lutheran Church in America,5,1339,4.01,1.35
10300,Adrian MI Micro Area,216,Evangelical Presbyterian Church,1,,,
10300,Adrian MI Micro Area,272,"Jehovah's Witnesses",2,378,1.13,0.38
10300,Adrian MI Micro Area,283,Lutheran Church--Missouri Synod,7,1640,4.91,1.65
10300,Adrian MI Micro Area,291,Missionary Church,1,44,0.13,0.04
10300,Adrian MI Micro Area,175,National Association of Congregational Christian Churches,4,152,0.45,0.15
10300,Adrian MI Micro Area,223,National Association of Free Will Baptists,1,32,0.10,0.03
10300,Adrian MI Micro Area,302,National Missionary Baptist Convention Inc.,2,450,1.35,0.45
10300,Adrian MI Micro Area,309,New Apostolic Church USA,1,,,
10300,Adrian MI Micro Area,500,Non-denominational Christian Churches,20,6904,20.65,6.94
10300,Adrian MI Micro Area,F38,Pilgrim Mennonite Conference,1,49,0.15,0.05
10300,Adrian MI Micro Area,355,Presbyterian Church (U.S.A.),6,504,1.51,0.51
10300,Adrian MI Micro Area,403,Salvation Army,1,31,0.09,0.03
10300,Adrian MI Micro Area,413,Seventh-day Adventist Church,2,120,0.36,0.12
10300,Adrian MI Micro Area,419,Southern Baptist Convention,6,2372,7.10,2.39
10300,Adrian MI Micro Area,443,United Church of Christ,1,178,0.53,0.18
10300,Adrian MI Micro Area,449,United Methodist Church,15,2235,6.69,2.25
10300,Adrian MI Micro Area,454,United Pentecostal Church International,2,,,
10300,Adrian MI Micro Area,467,Wesleyan Church,1,72,0.22,0.07
10300,Adrian MI Micro Area,469,Wisconsin Evangelical Lutheran Synod,4,960,2.87,0.97
10420,Akron OH Metro Area,003,African Methodist Episcopal Church,4,852,0.28,0.12
10420,Akron OH Metro Area,005,African Methodist Episcopal Zion Church,1,420,0.14,0.06
10420,Akron OH Metro Area,019,American Baptist Churches in the USA,12,2665,0.87,0.38
10420,Akron OH Metro Area,022,American Carpatho-Russian Orthodox Diocese,1,5,0.00,0.00
10420,Akron OH Metro Area,416,American Sikh Council,2,,,
10420,Akron OH Metro Area,031,Amish Groups undifferentiated,5,619,0.20,0.09
10420,Akron OH Metro Area,F01,Anglican Catholic Church,1,,,
10420,Akron OH Metro Area,033,Anglican Church in North America,5,,,
10420,Akron OH Metro Area,034,Antiochian Orthodox Christian Archdiocese of North America The,1,450,0.15,0.06
10420,Akron OH Metro Area,FF7,Apostolic Christian Church (Nazarene) - East Conference,1,220,0.07,0.03
10420,Akron OH Metro Area,FF8,Apostolic Christian Church (Nazarene) - West Conference,2,328,0.11,0.05
10420,Akron OH Metro Area,053,Assemblies of God,20,2377,0.78,0.34
10420,Akron OH Metro Area,056,"Baha'i Faith USA",0,125,0.04,0.02
10420,Akron OH Metro Area,078,Bulgarian Eastern Orthodox Diocese of the USA Canada and Australia,2,185,0.06,0.03
10420,Akron OH Metro Area,081,Catholic Church,45,121296,39.66,17.27
10420,Akron OH Metro Area,FGS,Chabad Judaism,3,,,
10420,Akron OH Metro Area,244,Charis Fellowship,5,,,
10420,Akron OH Metro Area,089,Christian and Missionary Alliance,13,3053,1.00,0.43
10420,Akron OH Metro Area,353,Christian Brethren (Open Plymouth Brethren),1,,,
10420,Akron OH Metro Area,093,Christian Church (Disciples of Christ),14,2225,0.73,0.32
10420,Akron OH Metro Area,097,Christian Churches and Churches of Christ,12,3737,1.22,0.53
10420,Akron OH Metro Area,101,Christian Methodist Episcopal Church,2,800,0.26,0.11
10420,Akron OH Metro Area,105,Christian Reformed Church in North America,1,107,0.03,0.02
10420,Akron OH Metro Area,123,Church of God (Anderson Indiana),9,2774,0.91,0.40
10420,Akron OH Metro Area,127,Church of God (Cleveland Tennessee),8,1199,0.39,0.17
10420,Akron OH Metro Area,141,Church of God in Christ,8,1505,0.49,0.21
10420,Akron OH Metro Area,145,Church of God of Prophecy,1,,,
10420,Akron OH Metro Area,146,"Church of God Mountain Assembly, Inc.",1,,,
10420,Akron OH Metro Area,151,Church of Jesus Christ of Latter-day Saints,6,2996,0.98,0.43
10420,Akron OH Metro Area,155,Church of Our Lord Jesus Christ of the Apostolic Faith Inc.,2,360,0.12,0.05
10420,Akron OH Metro Area,157,Church of the Brethren,3,194,0.06,0.03
10420,Akron OH Metro Area,165,Church of the Nazarene,17,2032,0.66,0.29
10420,Akron OH Metro Area,167,Churches of Christ,20,2410,0.79,0.34
10420,Akron OH Metro Area,173,Community of Christ,1,,,
10420,Akron OH Metro Area,270,Conservative Judaism,1,689,0.23,0.10
10420,Akron OH Metro Area,193,Episcopal Church,10,3102,1.01,0.44
10420,Akron OH Metro Area,199,Evangelical Congregational Church,2,,,
10420,Akron OH Metro Area,201,Evangelical Covenant Church,1,37,0.01,0.01
10420,Akron OH Metro Area,203,Evangelical Free Church of America,1,,,
10420,Akron OH Metro Area,328,Evangelical Friends Church International,5,519,0.17,0.07
10420,Akron OH Metro Area,207,Evangelical Lutheran Church in America,13,4144,1.36,0.59
10420,Akron OH Metro Area,216,Evangelical Presbyterian Church,2,,,
10420,Akron OH Metro Area,263,Foursquare Gospel International Church of the,3,82,0.03,0.01
10420,Akron OH Metro Area,391,Friends General Conference,1,18,0.01,0.00
10420,Akron OH Metro Area,232,Full Gospel Baptist Church Fellowship,2,360,0.12,0.05
10420,Akron OH Metro Area,FFR,Full Gospel Christian Assemblies International,2,310,0.10,0.04
10420,Akron OH Metro Area,388,General Association of Regular Baptist Churches,8,,,
10420,Akron OH Metro Area,FGM,Grace Communion International,1,,,
10420,Akron OH Metro Area,243,Grace Gospel Fellowship,1,,,
10420,Akron OH Metro Area,246,Greek Orthodox Archdiocese of America,1,1500,0.49,0.21
10420,Akron OH Metro Area,895,Hindu Temples,1,494,0.16,0.07
10420,Akron OH Metro Area,264,International Churches of Christ,1,80,0.03,0.01
10420,Akron OH Metro Area,262,International Council of Community Churches,2,,,
10420,Akron OH Metro Area,260,International Fellowship of Christian Assemblies,1,,,
10420,Akron OH Metro Area,268,Jain,1,,,
10420,Akron OH Metro Area,272,"Jehovah's Witnesses",23,5492,1.80,0.78
10420,Akron OH Metro Area,283,Lutheran Church--Missouri Synod,15,4129,1.35,0.59
10420,Akron OH Metro Area,255,Lutheran Congregations in Mission for Christ,2,158,0.05,0.02
10420,Akron OH Metro Area,330,Macedonian Orthodox Church: American Diocese,1,275,0.09,0.04
10420,Akron OH Metro Area,333,Malankara Orthodox Syrian Church,1,76,0.02,0.01
10420,Akron OH Metro Area,288,Mennonite Church USA,1,50,0.02,0.01
10420,Akron OH Metro Area,267,Muslim Estimate,4,4542,1.49,0.65
10420,Akron OH Metro Area,175,National Association of Congregational Christian Churches,1,498,0.16,0.07
10420,Akron OH Metro Area,223,National Association of Free Will Baptists,4,264,0.09,0.04
10420,Akron OH Metro Area,301,National Baptist Convention of America Inc.,1,600,0.20,0.09
10420,Akron OH Metro Area,300,"National Baptist Convention USA, Inc.",5,1910,0.62,0.27
10420,Akron OH Metro Area,302,National Missionary Baptist Convention Inc.,10,3310,1.08,0.47
10420,Akron OH Metro Area,FHP,Nazarene Christian Congregation (Side A or B),1,136,0.04,0.02
10420,Akron OH Metro Area,309,New Apostolic Church USA,2,,,
10420,Akron OH Metro Area,500,Non-denominational Christian Churches,129,82780,27.07,11.79
10420,Akron OH Metro Area,329,Open Bible Churches,1,30,0.01,0.00
10420,Akron OH Metro Area,331,Orthodox Church in America,3,475,0.16,0.07
10420,Akron OH Metro Area,276,Orthodox Judaism,1,120,0.04,0.02
10420,Akron OH Metro Area,355,Presbyterian Church (U.S.A.),14,2045,0.67,0.29
10420,Akron OH Metro Area,356,Presbyterian Church in America,3,430,0.14,0.06
10420,Akron OH Metro Area,363,Primitive Methodist Church in the USA,1,,,
10420,Akron OH Metro Area,364,Progressive National Baptist Convention Inc.,3,706,0.23,0.10
10420,Akron OH Metro Area,271,Reform Judaism,2,1288,0.42,0.18
10420,Akron OH Metro Area,403,Salvation Army,3,472,0.15,0.07
10420,Akron OH Metro Area,410,Serbian Orthodox Church in North America,3,1548,0.51,0.22
10420,Akron OH Metro Area,413,Seventh-day Adventist Church,5,816,0.27,0.12
10420,Akron OH Metro Area,419,Southern Baptist Convention,20,2458,0.80,0.35
10420,Akron OH Metro Area,F51,Sovereign Grace Churches,1,,,
10420,Akron OH Metro Area,891,Theravada Buddhist,1,303,0.10,0.04
10420,Akron OH Metro Area,435,Unitarian Universalist Association of Congregations,2,585,0.19,0.08
10420,Akron OH Metro Area,443,United Church of Christ,24,9327,3.05,1.33
10420,Akron OH Metro Area,FGN,United Church of God,1,,,
10420,Akron OH Metro Area,445,United Holy Church of America Inc.,1,24,0.01,0.00
10420,Akron OH Metro Area,449,United Methodist Church,50,15154,4.96,2.16
10420,Akron OH Metro Area,454,United Pentecostal Church International,6,,,
10420,Akron OH Metro Area,124,Unity Churches Association of,1,,,
10420,Akron OH Metro Area,892,Vajarayana Buddhist,2,1230,0.40,0.18
10420,Akron OH Metro Area,179,Venture Church Network,1,,,
10420,Akron OH Metro Area,463,Vineyard USA,1,240,0.08,0.03
10420,Akron OH Metro Area,467,Wesleyan Church,2,90,0.03,0.01
10460,Alamogordo NM Micro Area,003,African Methodist Episcopal Church,1,350,1.59,0.52
10460,Alamogordo NM Micro Area,033,Anglican Church in North America,1,,,
10460,Alamogordo NM Micro Area,053,Assemblies of God,5,3430,15.59,5.06
10460,Alamogordo NM Micro Area,056,"Baha'i Faith USA",0,133,0.60,0.20
10460,Alamogordo NM Micro Area,081,Catholic Church,8,7369,33.50,10.86
10460,Alamogordo NM Micro Area,093,Christian Church (Disciples of Christ),1,11,0.05,0.02
10460,Alamogordo NM Micro Area,097,Christian Churches and Churches of Christ,1,55,0.25,0.08
10460,Alamogordo NM Micro Area,F53,Church of God,1,,,
10460,Alamogordo NM Micro Area,127,Church of God (Cleveland Tennessee),2,51,0.23,0.08
10460,Alamogordo NM Micro Area,141,Church of God in Christ,1,160,0.73,0.24
10460,Alamogordo NM Micro Area,151,Church of Jesus Christ of Latter-day Saints,4,1976,8.98,2.91
10460,Alamogordo NM Micro Area,165,Church of the Nazarene,2,91,0.41,0.13
10460,Alamogordo NM Micro Area,167,Churches of Christ,9,387,1.76,0.57
10460,Alamogordo NM Micro Area,193,Episcopal Church,2,122,0.55,0.18
10460,Alamogordo NM Micro Area,207,Evangelical Lutheran Church in America,1,145,0.66,0.21
10460,Alamogordo NM Micro Area,232,Full Gospel Baptist Church Fellowship,1,100,0.45,0.15
10460,Alamogordo NM Micro Area,FFR,Full Gospel Christian Assemblies International,1,160,0.73,0.24
10460,Alamogordo NM Micro Area,388,General Association of Regular Baptist Churches,1,,,
10460,Alamogordo NM Micro Area,272,"Jehovah's Witnesses",4,796,3.62,1.17
10460,Alamogordo NM Micro Area,283,Lutheran Church--Missouri Synod,1,151,0.69,0.22
10460,Alamogordo NM Micro Area,300,"National Baptist Convention USA, Inc.",1,150,0.68,0.22
10460,Alamogordo NM Micro Area,302,National Missionary Baptist Convention Inc.,1,150,0.68,0.22
10460,Alamogordo NM Micro Area,500,Non-denominational Christian Churches,6,2020,9.18,2.98
10460,Alamogordo NM Micro Area,339,Pentecostal Church of God,1,,,
10460,Alamogordo NM Micro Area,355,Presbyterian Church (U.S.A.),1,33,0.15,0.05
10460,Alamogordo NM Micro Area,356,Presbyterian Church in America,1,74,0.34,0.11
10460,Alamogordo NM Micro Area,371,Reformed Church in America,1,210,0.95,0.31
10460,Alamogordo NM Micro Area,413,Seventh-day Adventist Church,1,184,0.84,0.27
10460,Alamogordo NM Micro Area,419,Southern Baptist Convention,18,2475,11.25,3.65
10460,Alamogordo NM Micro Area,435,Unitarian Universalist Association of Congregations,1,45,0.20,0.07
10460,Alamogordo NM Micro Area,449,United Methodist Church,3,870,3.95,1.28
10460,Alamogordo NM Micro Area,454,United Pentecostal Church International,1,,,
10460,Alamogordo NM Micro Area,892,Vajarayana Buddhist,1,300,1.36,0.44
10460,Alamogordo NM Micro Area,179,Venture Church Network,1,,,
10500,Albany GA Metro Area,003,African Methodist Episcopal Church,9,1280,1.77,0.86
10500,Albany GA Metro Area,017,American Baptist Association,1,162,0.22,0.11
10500,Albany GA Metro Area,053,Assemblies of God,5,1240,1.71,0.83
10500,Albany GA Metro Area,056,"Baha'i Faith USA",0,349,0.48,0.23
10500,Albany GA Metro Area,081,Catholic Church,1,2123,2.94,1.43
10500,Albany GA Metro Area,353,Christian Brethren (Open Plymouth Brethren),1,,,
10500,Albany GA Metro Area,097,Christian Churches and Churches of Christ,1,153,0.21,0.10
10500,Albany GA Metro Area,101,Christian Methodist Episcopal Church,3,362,0.50,0.24
10500,Albany GA Metro Area,D83,"Christ's Sanctified Holy Church",1,,,
10500,Albany GA Metro Area,127,Church of God (Cleveland Tennessee),4,1071,1.48,0.72
10500,Albany GA Metro Area,122,Church of God by Faith Inc.,1,,,
10500,Albany GA Metro Area,141,Church of God in Christ,4,854,1.18,0.57
10500,Albany GA Metro Area,145,Church of God of Prophecy,1,,,
10500,Albany GA Metro Area,151,Church of Jesus Christ of Latter-day Saints,1,564,0.78,0.38
10500,Albany GA Metro Area,FFK,Church of the Genuine Orthodox Christians,1,50,0.07,0.03
10500,Albany GA Metro Area,165,Church of the Nazarene,2,197,0.27,0.13
10500,Albany GA Metro Area,167,Churches of Christ,10,1354,1.87,0.91
10500,Albany GA Metro Area,177,Congregational Holiness Church,1,,,
10500,Albany GA Metro Area,FFW,ECO: A Covenant Order of Presbyterians,1,,,
10500,Albany GA Metro Area,193,Episcopal Church,4,529,0.73,0.36
10500,Albany GA Metro Area,207,Evangelical Lutheran Church in America,1,32,0.04,0.02
10500,Albany GA Metro Area,FFR,Full Gospel Christian Assemblies International,2,2290,3.17,1.54
10500,Albany GA Metro Area,895,Hindu Temples,1,1731,2.39,1.16
10500,Albany GA Metro Area,272,"Jehovah's Witnesses",10,2202,3.04,1.48
10500,Albany GA Metro Area,283,Lutheran Church--Missouri Synod,1,95,0.13,0.06
10500,Albany GA Metro Area,267,Muslim Estimate,2,622,0.86,0.42
10500,Albany GA Metro Area,223,National Association of Free Will Baptists,4,271,0.37,0.18
10500,Albany GA Metro Area,300,"National Baptist Convention USA, Inc.",10,3090,4.27,2.07
10500,Albany GA Metro Area,302,National Missionary Baptist Convention Inc.,20,4914,6.79,3.30
10500,Albany GA Metro Area,500,Non-denominational Christian Churches,46,10530,14.56,7.07
10500,Albany GA Metro Area,355,Presbyterian Church (U.S.A.),4,601,0.83,0.40
10500,Albany GA Metro Area,356,Presbyterian Church in America,1,53,0.07,0.04
10500,Albany GA Metro Area,361,Primitive Baptists Associations,1,38,0.05,0.03
10500,Albany GA Metro Area,403,Salvation Army,1,206,0.28,0.14
10500,Albany GA Metro Area,413,Seventh-day Adventist Church,3,607,0.84,0.41
10500,Albany GA Metro Area,419,Southern Baptist Convention,64,26955,37.27,18.10
10500,Albany GA Metro Area,449,United Methodist Church,22,7797,10.78,5.24
